,band_name,fans,formed,origin,split,style
3715,Preternatural,4,1999,Latvia,1999,Melodic death
3716,Pyogenesis,4,1989,Germany,-,"Death,Gothic doom,Alternative rock,Punk rock"
3717,Q5,4,1983,USA,1983,"Hard rock,Heavy"
3718,Quartz,4,1974,United Kingdom,-,"New wave of british heavy,Heavy"
3719,Rage Nucléaire,4,2006,Canada,2006,"Industrial black,Melodic black"
3720,Rage Of Romance,4,2010,Greece,-,"Power,Progressive"
3721,Raglaia,4,2015,Japan,2015,"Heavy,Speed"
3722,Railway,4,1977,Germany,-,Heavy
3723,Ramming Speed,4,2005,USA,2005,"Death,Thrash,Crossover thrash"
3724,Ripper,4,2007,Chile,-,"Thrash,Death"
3725,Scarleth,4,2005,Ukraine,2005,"Symphonic power,Gothic"
3726,Scars Of Chaos,4,1997,France,-,Symphonic black
3727,Schizoid Lloyd,4,2007,The Netherlands,2007,"Progressive,Avantgarde"
3728,Sepsism,4,1990,USA,-,Death
3729,Serenity Broken,4,2010,Greece,2010,"Alternative,Hard rock"
3730,Serpentine Dominion,4,2011,USA,-,Death
3731,Shadowkeep,4,1999,United Kingdom,1999,"Progressive,Power"
3732,Shah,4,1985,Russia,1996,Thrash
3733,Shatter Messiah,4,2005,USA,2005,"Us power,Thrash"
3734,Shepherd,4,2011,India,-,"Sludge,Hard rock"
3735,Shepherds Of Cassini,4,2012,New Zealand,2012,"Post-metal,Progressive rock"
3736,Shok Paris,4,1982,USA,-,"Heavy,Speed"
3737,Sin7sinS,4,2007,The Netherlands,2007,"Gothic,Gothic rock"
3738,Slash's Snakepit,4,1995,USA,2001,"Hard rock,Blues rock"
3739,Speed\Kill/Hate,4,2002,USA,2002,Thrash
3740,Spheron,4,2007,Germany,-,Death
3741,Sportlov,4,2000,Sweden,2000,Black
3742,Squash Bowels,4,1994,Poland,-,Goregrind
3743,Star Queen,4,2001,Bulgaria,2001,"Symphonic power,Symphonic gothic"
3744,Stormhammer,4,1993,Germany,-,Power
3745,Stride,4,1996,USA,1996,"Progressive,Progressive rock"
3746,Strikelight,4,1999,Greece,-,Heavy
3747,Sworn (ARM),4,2005,Armenia,2005,Symphonic black
3748,Symphonic Destiny,4,2014,Serbia,-,Symphonic
3749,Tacoma Narrows Bridge Disaster,4,2008,United Kingdom,2008,"Post-,Rock ,Post-metal"
3750,Teethgrinder,4,2013,The Netherlands,-,Grindcore
3751,The 3rd Attempt,4,2014,Norway,2014,Black
3752,The Infernal Sea,4,2010,United Kingdom,-,Black
3753,The Kill,4,2000,Australia,2000,Grindcore
3754,The Moaning,4,1994,Sweden,1997,Melodic death
3755,The Old Wind,4,2013,Sweden,2013,Post-metal
3756,The Ritual Aura,4,2015,Australia,-,"Progressive death,Technical death"
3757,The Scourger,4,2003,Finland,2003,Thrash
3758,The Ugly,4,2004,Sweden,-,Black
3759,Third Ion,4,2010,Canada,2010,Progressive
3760,This Gift Is A Curse,4,2008,Sweden,-,"Black,Sludge,Hardcore"
3761,Thormesis,4,2006,Germany,2006,Pagan black
3762,Thy Wicked,4,2000,Germany,-,"Pagan black,Folk"
3763,Total Devastation,4,1998,Finland,1998,Industrial death
3764,Undergang,4,2008,Denmark,-,Death
3765,Ur Draugr,4,2014,Australia,2014,Blackened death
3766,Vagrant God,4,2007,Norway,-,Gothic
3767,Vainaja,4,2011,Finland,2011,Death doom
3768,Valkyrie,4,2002,USA,-,"Doom,Heavy"
3769,Violet Cold,4,2013,Azerbaijan,2013,Shoegaze
3770,Visceral Throne,4,2009,USA,-,Brutal death
3771,Volture,4,2008,USA,2008,Heavy
3772,Vortech,4,2000,Finland,-,"Industrial,Death"
3773,Vulturium Memoriae,4,2006,Italy,2006,"Avantgarde doom,Drone"
3774,Weekend Nachos,4,2004,USA,2016,"Grindcore,Hardcore,Punk"
3775,Westfield Massacre,4,2014,USA,2014,"Metalcore,Melodic death"
3776,Whispering Woods,4,2008,Romania,-,Gothic doom
3777,Wild Throne,4,2013,USA,2013,Progressive
3778,Winterlong,4,1998,Sweden,-,"Power,Progressive"
3779,Wolfsbane,4,1984,United Kingdom,1984,"Glam,Heavy,Hard rock"
3780,Wormreich,4,2009,USA,-,Black
3781,Worms Of Sabnock,4,2003,United Kingdom,2003,Melodic black
3782,Wound,4,2011,Germany,-,Death
3783,Xibalba (USA),4,2007,USA,2007,"Death,Hardcore"
3784,Xul,4,2008,Canada,-,Blackened death
3785,Xysma,4,1988,Finland,1988,"Grindcore,Death ',N',Roll ,Hard rock,Rock"
3786,Yonder Realm,4,2009,USA,-,Folk
3787,Église,3,2011,Denmark,2011,"Post-metal,Hardcore"
3788,(V.E.G.A.),3,1998,Italy,-,Industrial black
3789,2 Ton Predator,3,1993,Sweden,1993,Thrash
3790,24-7 Spyz,3,1986,USA,-,"Alternative,Funk rock,Crossover thrash"
3791,A Pregnant Light,3,2009,USA,2009,"Black,Post-metal,Hardcore"
3792,A.I.(d),3,2010,France,-,Djent
3793,A.M.S.G.,3,2007,Canada,2007,Black
3794,Abaddon Incarnate,3,1994,Ireland,-,"Grindcore,Death"
3795,Abaton,3,2009,Italy,2009,"Doom,Black"
3796,Ad Inferna,3,2000,France,2015,"Symphonic black,Gothic,Electro industrial"
3797,Aenygmist,3,2007,Canada,2007,Melodic black
3798,Ah Ciliz,3,2008,USA,-,"Atmospheric black,Depressive black"
3799,Aleph,3,1998,Italy,1998,"Death,Thrash,Progressive"
3800,AnachroniA,3,2000,France,-,"Gothic,Melodic progressive"
3801,Anal Stench,3,2001,Poland,2001,Death
3802,Angmar,3,2002,France,-,Black
3803,Anima Damnata,3,1996,Poland,1996,"Black,Death"
3804,Antipope,3,2004,Finland,-,"Black,Progressive black,Extreme progressive"
3805,Aphonic Threnody,3,2012,United Kingdom,2012,Funeral doom
3806,Apostle Of Solitude,3,2004,USA,-,Doom
3807,Archon,3,2008,USA,2008,"Psychedelic doom,Sludge,Stoner"
3808,As We Fight,3,2001,Denmark,2011,Metalcore
3809,Asmodeus (AUT),3,1996,Austria,1996,Black
3810,Assailant,3,2004,Sweden,-,Progressive power
3811,At The Lake,3,2005,Poland,2005,Symphonic folk
3812,Atrament,3,2014,USA,-,"Black,Crust,Punk"
3813,Atrorum,3,1998,Germany,1998,Avantgarde black
3814,Auspex,3,2001,France,-,"Power,Progressive power"
3815,Avenger (Ger),3,1984,Germany,1984,"Speed,Heavy"
3816,Baring Teeth,3,2007,USA,-,"Progressive death,Technical death"
3817,Barishi,3,2010,USA,2010,Progressive
3818,Bastard Sapling,3,2007,USA,-,Black
3819,Before Eden,3,1998,Brazil,1998,Progressive power
3820,Before The Harvest,3,2011,Australia,-,Symphonic deathcore
3821,Beyond The Dust,3,2010,France,2010,"Progressive,Djent"
3822,Black Hole Generator,3,2006,Norway,-,Industrial black
3823,Black Star Riders,3,2012,USA,2012,Hard rock
3824,Blessed Death,3,1984,USA,1992,"Thrash,Speed"
3825,Blind Fury,3,1983,United Kingdom,1983,"New,Wave,Of british heavy"
3826,Blockheads,3,1992,France,-,Grindcore
3827,Bloodmoon,3,2010,USA,2010,"Progressive sludge,Doom"
3828,Brothers Of The Sonic Cloth,3,2007,USA,-,"Doom,Sludge,Stoner"
3829,Brutart,3,2000,Slovenia,2000,Doom
3830,Buried At Sea,3,2001,USA,-,"Drone doom,Sludge"
3831,By Night,3,1999,Sweden,1999,Thrash
3832,Calvarium,3,2001,Finland,-,Black
3833,Cancerous Womb,3,2008,United Kingdom,2008,"Death,Grindcore"
3834,Celestial Decay,3,2008,Sweden,-,Symphonic power
3835,Centimani,3,2006,USA,2006,"Melodic death,Melodic black"
3836,Chasse-Galerie,3,2007,Canada,-,Black
3837,Chemical Breath,3,1990,Belgium,1990,"Technical death,Thrash"
3838,Church Bizarre,3,2001,Denmark,-,"Death,Black"
3839,Church Of Void,3,2010,Finland,2010,Doom
3840,Circle Of Dust,3,1988,USA,-,Industrial
3841,Clairvoyants,3,2001,Italy,2001,Heavy
3842,Cognizance,3,2012,United Kingdom,-,"Melodic death,Technical death,Deathcore"
3843,Collapse 7,3,1992,Austria,1992,Melodic death
3844,Contrarian,3,2014,USA,-,Progressive death
3845,Corrupt Moral Altar,3,2012,United Kingdom,2012,Grindcore
3846,Cowards,3,2011,France,-,"Black,Sludge,Hardcore"
3847,Crescent Shield,3,2000,USA,2000,Power
3848,Crimsonfire,3,1997,Australia,-,Power
3849,Crowhurst,3,2011,USA,2011,"Experimental black,Noise"
3850,Crowned,3,2010,Australia,-,Black
3851,Cruadalach,3,2008,Czech Republic,2008,Folk
3852,Curse,3,1995,Iceland,-,Black
3853,Cyanide Serenity,3,2008,United Kingdom,2008,Melodic metalcore
3854,Cyclone,3,1980,Belgium,1993,Thrash
3855,Danse Macabre,3,1995,The Netherlands,1995,Gothic
3856,Dark Domination,3,1996,Latvia,-,Black
3857,Dawn Of Winter,3,1990,Germany,1990,Doom
3858,Dawn On Sedna,3,2013,Italy,-,Post-metal
3859,De Arma,3,2009,Sweden,2009,"Black,Post-metal"
3860,Dead Instrument,3,2007,Denmark,-,Grindcore
3861,Death Strike,3,1984,USA,1984,Death
3862,Deathraiser,3,2006,Brazil,-,Thrash
3863,Decomposed,3,1990,United Kingdom,1990,"Death,Doom"
3864,Derkéta,3,1988,USA,-,Death doom
3865,Desolation Angels,3,1981,United Kingdom,1981,"New wave of british heavy,Heavy"
3866,Destroying Divinity,3,2001,Czech Republic,-,Death
3867,DinUmbr?,3,1998,Romania,1998,"Death doom,Gothic doom"
3868,Dissolution,3,2003,Canada,-,"Melodic death,Technical thrash"
3869,Dol Theeta,3,2008,Greece,2008,Electronic symphonic
3870,Down Among The Dead Men,3,2013,Sweden,-,Death
3871,Duff McKagan's Loaded,3,1999,USA,1999,Hard rock
3872,Dungortheb,3,1996,France,-,Technical death
3873,Dynazty,3,2007,Sweden,2007,"Heavy,Hard rock,Melodic power"
3874,Dyslesia,3,1986,France,-,Melodic power
3875,Ecferus,3,2014,USA,2014,Black
3876,Echo Of Dalriada,3,1998,Hungary,2006,Folk
3877,Eden Weint Im Grab,3,2004,Germany,2004,Gothic
3878,Edenfall,3,2009,United Kingdom,-,Gothic doom
3879,Effloresce,3,2008,Germany,2008,Progressive
3880,Ellipsis,3,1995,France,-,Symphonic progressive
3881,Emergency Gate,3,1996,Germany,1996,Power
3882,Eternal Majesty,3,1995,France,-,Black
3883,Ethereal Blue,3,2002,Greece,2002,Atmospheric death
3884,Evidence One,3,2001,Germany,-,Melodic hard rock
3885,Ewigkeit,3,1994,United Kingdom,1994,Black
3886,Executer,3,1985,Brazil,-,Thrash
3887,Exhale,3,2004,Sweden,2004,Grindcore
3888,Exmortem,3,1992,Denmark,2010,Death
3889,Face Of Oblivion,3,2009,USA,2009,Technical death
3890,Falaise,3,2015,Italy,-,"Atmospheric black,Post-metal"
3891,Fall Of Empyrean,3,2000,USA,2000,Death doom
3892,Fate,3,1984,Denmark,-,Hard rock
3893,Feridea,3,2012,Finland,2012,"Symphonic,Gothic"
3894,Feto In Fetus,3,2004,Poland,-,Deathgrind
3895,Finnugor,3,2001,Hungary,2001,"Symphonic black,Industrial black"
3896,Fogland,3,1997,Romania,-,"Folk,Melodic black"
3897,Forgive-Me-Not,3,1996,Russia,1996,Gothic doom
3898,Fright Night,3,2005,Russia,-,"Gothic rock,Gothic"
3899,Geïst,3,2005,Germany,2005,Black
3900,Generation Kill,3,2009,USA,-,Crossover thrash
3901,Geoff Tate's Queensrÿche,3,2012,USA,2012,Progressive
3902,Gillan,3,1978,United Kingdom,1982,Hard rock
3903,Goathemy,3,1995,Finland,1995,Melodic black
3904,God.Fear.None,3,2004,Greece,-,"Melodic death,Metalcore"
3905,Graveshadow,3,2012,USA,2012,"Symphonic,Gothic"
3906,Graveyard (ESP),3,2007,Spain,-,Death
3907,Griftegård,3,2005,Sweden,2005,Doom
3908,Grima,3,2014,Russia,-,Atmospheric black
3909,Grimfist,3,2001,Norway,2001,"Black,Death"
3910,Gurd,3,1994,Switzerland,-,Thrash
3911,Hacavitz,3,2003,Mexico,2003,"Blackened death,Black"
3912,Haeres,3,2009,Canada,-,Black
3913,Hardingrock,3,2005,Norway,2005,"Folk,Rock"
3914,Havoc Unit,3,2005,Finland,2013,"Industrial,Experimental black"
3915,Hell:On,3,2005,Ukraine,2005,Thrash
3916,Hellfueled,3,1998,Sweden,-,Heavy
3917,Hexis,3,2010,Denmark,2010,"Black,Hardcore"
3918,High Priest Of Saturn,3,2011,Norway,-,"Doom,Stoner,Psychedelic rock"
3919,High Spirits,3,2009,USA,2009,"Hard rock,Heavy"
3920,Horizon Ablaze,3,2008,Norway,-,Death
3921,Houwitser,3,1997,The Netherlands,1997,Death
3922,Hybris,3,2010,United Kingdom,-,Progressive thrash
3923,Hyems,3,2000,Germany,2000,Melodic black
3924,Ian Gillan,3,1982,United Kingdom,-,"Hard rock,Pop rock,Blues rock"
3925,Implant Pentru Refuz,3,1995,Romania,1995,"Hardcore,Metalcore"
3926,In Twilight's Embrace,3,2005,Poland,-,"Metalcore,Melodic death,Death"
3927,Infera Bruo,3,2009,USA,2009,Progressive black
3928,Inspell,3,2003,Bulgaria,-,Symphonic black
3929,Iron Hearse,3,2002,United Kingdom,2002,Doom
3930,Jaded Star,3,2013,Greece,-,Melodic power
3931,Kenziner,3,1997,Finland,1997,Power
3932,Kinetik,3,2007,USA,-,"Industrial,Groove thrash"
3933,Kowloon Walled City,3,2007,USA,2007,Sludge
3934,L'Esprit Du Clan,3,1992,France,-,Metalcore
3935,Last Sacrament,3,2005,USA,2005,Death
3936,Laster,3,2012,The Netherlands,-,Atmospheric black
3937,Latitude Egress,3,2007,Germany,2007,"Black,Funeral doom,Atmospheric doom"
3938,Lechery,3,2004,Sweden,-,Heavy
3939,Lefay,3,1997,Sweden,1997,"Power,Thrash"
3940,Let Me Dream,3,1989,Finland,-,Gothic doom
3941,Level 10,3,2014,,2014,"Heavy,Power"
3942,Lightning,3,2002,Japan,-,"Heavy,Power"
3943,Lorn,3,1999,Italy,1999,Black
3944,Loss,3,2000,Sweden,-,Death
3945,Lothlöryen,3,2002,Brazil,2002,"Melodic power,Folk"
3946,Love Lies Bleeding,3,1996,France,2008,"Atmospheric black,Doom"
3947,Magister Templi,3,2008,Norway,2008,"Hard rock,Heavy,Doom"
3948,Majster Kat,3,2001,Slovak Republic,-,Thrash
3949,Makrothumia,3,1994,Romania,1994,"Death doom,Progressive"
3950,Mandator,3,1987,The Netherlands,1993,"Speed,Thrash"
3951,Manitou,3,1997,Finland,1997,Progressive heavy
3952,Maveth,3,2007,Finland,-,Blackened death
3953,Mayze,3,2012,Germany,2012,"Progressive,Gothic"
3954,Medico Peste,3,2010,Poland,-,Black
3955,Mefisto,3,1984,Sweden,1984,"Black,Death,Thrash"
3956,Menace,3,2013,United Kingdom,-,"Progressive,Hard rock"
3957,Mhorgl,3,2004,Australia,2004,Black
3958,Middian,3,2005,USA,2008,"Doom,Sludge"
3959,Mind Odyssey,3,1993,Germany,1993,Progressive
3960,Misery Inc.,3,2001,Finland,2008,"Gothic,Death"
3961,Morbosidad,3,1993,USA,1993,"Black,Death"
3962,Moth,3,2011,USA,-,"Melodic death,Progressive"
3963,Mother Witch & Dead Water Ghosts,3,2013,Ukraine,2013,"Doom,Psychedelic rock"
3964,Mystic Force,3,1986,USA,2005,"Us power,Progressive"
3965,Nachtlieder,3,2008,Sweden,2008,Black
3966,Necrite,3,2004,USA,-,"Ambient black,Drone"
3967,Nevaloth,3,2008,Slovak Republic,2008,Atmospheric black
3968,Nevolution,3,2004,Iceland,-,Melodic death
3969,Night Magic,3,2006,USA,2006,Doom
3970,No-Big-Silence,3,1989,Estonia,-,"Death,Industrial"
3971,Noisear,3,1999,USA,1999,Grindcore
3972,Nonsun,3,2011,Ukraine,-,"Drone doom,Sludge"
3973,Norska,3,2009,USA,2009,"Doom,Sludge"
3974,Ocean Chief,3,2001,Sweden,-,"Doom,Sludge,Stoner"
3975,"Oh, Sleeper",3,2006,USA,2006,Metalcore
3976,Ol Drake,3,2013,United Kingdom,-,"Heavy,Hard rock"
3977,Omen (HUN),3,1990,Hungary,1990,"Thrash,Speed"
3978,Omnerod,3,2009,Belgium,-,Extreme progressive
3979,Ordog,3,2005,Finland,2005,Doom
3980,Oruga,3,2010,France,-,"Doom,Sludge,Stoner"
3981,Ostrogoth,3,1976,Belgium,1976,Heavy
3982,Over Your Threshold,3,2006,Germany,-,Progressive death
3983,P.L.F.,3,1999,USA,1999,Grindcore
3984,Persephone's Dream,3,1993,USA,-,"Progressive rock,Progressive"
3985,Perzonal War,3,1996,Germany,1996,"Power,Thrash"
3986,Phantom Winter,3,2014,Germany,-,Sludge
3987,Planks,3,2007,Germany,2007,Blackened sludge
3988,Plateau Sigma,3,2010,Italy,-,Doom
3989,Poison Sun,3,2010,Germany,2010,Heavy
3990,Possession,3,2012,Belgium,-,"Black,Death"
3991,Posthum,3,2004,Norway,2004,Progressive black
3992,Primal Rock Rebellion,3,2011,United Kingdom,-,"Heavy,Alternative"
3993,Profusion,3,2001,Italy,2001,"Progressive,Fusion"
3994,Prohod,3,2012,Romania,-,"Atmospheric black,Melodic black"
3995,Project Pain,3,2011,The Netherlands,2011,Thrash
3996,Queiron,3,1995,Brazil,-,Brutal death
3997,Quest Of Aidance,3,2004,Sweden,2004,"Melodic death,Grindcore"
3998,Ravager,3,1997,Mexico,2003,Brutal death
3999,Reasons Behind,3,2010,Italy,2010,Symphonic power
4000,Rendezvous Point,3,2010,Norway,-,Progressive
4001,Resurrection Kings,3,2015,USA,2015,Hard rock
4002,Revolted Masses,3,2008,Greece,-,"Progressive death,Thrash"
4003,Rippikoulu,3,1990,Finland,1990,Death
4004,RoadkillSoda,3,2011,Romania,-,"Sludge,Stoner"
4005,Rosae Crucis,3,1990,Italy,1990,Heavy
4006,Sadness,3,1989,Switzerland,1998,"Death doom,Gothic doom"
4007,Samothrace,3,2006,USA,2006,"Doom,Stoner"
4008,Sanctimony,3,1994,Latvia,-,"Death,Death ',N',Roll"
4009,Saturnalia Temple,3,2006,Sweden,2006,"Doom,Stoner"
4010,Sear,3,2001,Finland,-,"Black,Death"
4011,Season's End,3,1998,United Kingdom,1998,Gothic
4012,Sektemtum,3,2009,France,-,Black
4013,Self-Inflicted Violence,3,2007,United Kingdom,2007,"Black,Post-rock"
4014,Sengir,3,1995,Belgium,2007,"Gothic,Death doom"
4015,Sepia Dreamer,3,2003,Sweden,2003,Progressive
4016,Septic Mind,3,2006,Russia,-,Funeral doom
4017,Sethian,3,1998,Finland,1998,"Hard rock,Suomi"
4018,Sexcrement,3,2005,USA,-,Death
4019,Shadow Host,3,1993,Russia,1993,"Power,Thrash"
4020,Shadowdances,3,1995,"Lithuania, United Kingdom",-,"Doom,Melodic death"
4021,Sheavy,3,1993,Canada,1993,"Doom,Stoner"
4022,Shining Fury,3,2001,Italy,-,Power
4023,Shturm,3,2003,Russia,2003,"Black,Death"
4024,Sideburn,3,1997,Sweden,-,Stoner
4025,Silent Voices,3,1995,Finland,1995,Progressive
4026,Sinister Realm,3,2008,USA,-,"Heavy,Doom"
4027,Skeletal Remains,3,2011,USA,2011,Death
4028,Smallman,3,2001,Bulgaria,-,"Folk,Post-metal"
4029,Smargroth,3,2006,Slovenia,2006,Black
4030,Sorathian Dawn,3,2009,Australia,-,"Black,Death"
4031,Sororicide,3,1990,Iceland,1990,Death
4032,Sorrow Plagues,3,2014,United Kingdom,-,"Atmospheric black,Post-rock"
4033,Soul Takers,3,1998,Italy,1998,Progressive
4034,Soulfractured,3,1999,USA,2006,Progressive
4035,Spazmosity,3,1994,Sweden,1994,"Black,Death"
4036,Squealer,3,1986,Germany,-,"Heavy,Power,Thrash"
4037,Status Abnormis,3,2010,Finland,2010,"Death,Thrash,Industrial"
4038,Stigma,3,2000,Italy,-,Melodic deathcore
4039,Stillborn (POL),3,1997,Poland,1997,"Black,Death"
4040,Stone Gods,3,2006,United Kingdom,-,"Hard rock,Heavy"
4041,Sulphur,3,1999,Norway,1999,"Black,Death"
4042,Sumerlands,3,2014,USA,-,"Heavy,Power"
4043,Svartelder,3,2015,Norway,2015,Black
4044,Syrens Call,3,1997,France,-,"Progressive,Symphonic,Power"
4045,The Crown Of Yamhad,3,2015,Syria,2015,"Atmospheric folk,Symphonic"
4046,The Deathtrip,3,2007,Norway,-,Black
4047,The Enochian,3,2007,Greece,2007,Melodic black
4048,The Lumberjack Feedback,3,2008,France,-,"Doom,Sludge"
4049,The Order Of Israfel,3,2012,Sweden,2012,Doom
4050,The Ox,3,2012,Spain,-,Progressive
4051,The Seven Gates,3,2005,France,2005,Death
4052,The Skull,3,2012,USA,-,Doom
4053,The Undivine,3,2005,Finland,2005,"Death,Thrash"
4054,The Weakening,3,2007,Sweden,-,"Melodic death,Djent"
4055,Thornafire,3,1998,Chile,1998,Death
4056,Thought Machine,3,2009,Italy,-,Industrial
4057,Throneum,3,1996,Poland,1996,"Death,Black"
4058,Thunderbolt,3,2000,Norway,-,Heavy
4059,Thy Final Pain,3,2007,Germany,2007,Death
4060,Thy Flesh Consumed,3,2001,Canada,2010,Death
4061,Thy Primordial,3,1994,Sweden,1994,Black
4062,Today I Caught The Plague,3,2007,Canada,2013,"Progressive metalcore,Progressive"
4063,Tonic Breed,3,2006,Norway,2006,Groove thrash
4064,Torrens Conscientium,3,2009,Ukraine,-,Funeral doom
4065,Total Fucking Destruction,3,1999,USA,1999,Grindcore
4066,Total Negation,3,2007,Germany,-,Black
4067,Totalt Jävla Mörker,3,1996,Sweden,1996,"Blackened hardcore,Crust,Punk"
4068,Transient,3,2008,USA,-,Grindcore
4069,Triton Enigma,3,2005,Sweden,2005,"Melodic death,Thrash"
4070,Tsar Bomba,3,2011,France,-,Stoner
4071,Tungsten,3,2011,USA,2011,"Progressive rock,Progressive"
4072,Unsilence,3,1993,United Kingdom,-,Doom
4073,Uroboros,3,2012,Argentina,2012,"Death,Sludge"
4074,Urskumug,3,2001,Latvia,-,Black
4075,Vaee Solis,3,2014,Portugal,2014,Blackened doom
4076,Valborg,3,2002,Germany,-,"Progressive doom,Death"
4077,Valhall,3,1987,Norway,1987,"Black,Doom"
4078,Valhalla,3,1997,Spain,2010,"Heavy,Power"
4079,Vandroya,3,2001,Brazil,2001,Progressive power
4080,Vanisher,3,2010,USA,-,Metalcore
4081,Venomous Maximus,3,2010,USA,2010,"Doom,Heavy"
4082,Vermiform,3,2010,USA,-,Death
4083,Verminous,3,2002,Sweden,2002,Death
4084,Vinterblot,3,2008,Italy,-,Melodic death
4085,Virus IV,3,2006,Belgium,2006,"Progressive power,Progressive heavy"
4086,Viuda Negra,3,1996,Ecuador,2010,Progressive
4087,Voice Of The Soul,3,2007,UAE,2007,Death
4088,Vorkreist,3,1999,France,-,"Black,Death"
4089,Vulcain,3,1981,France,1981,Heavy
4090,Waken Eyes,3,2013,Canada,-,"Progressive rock,Progressive"
4091,Walk Through Fire,3,2008,Sweden,2008,"Sludge,Doom"
4092,War,3,1995,Sweden,2001,Black
4093,Warhorse,3,1996,USA,1996,"Doom,Stoner"
4094,We All Die (Laughing),3,2013,France,-,"Avantgarde,Progressive"
4095,Whales And Aurora,3,2008,Italy,2008,Atmospheric sludge
4096,Wijlen Wij,3,2002,Belgium,2014,Funeral doom
4097,WildeStarr,3,2003,USA,2003,Heavy
4098,Wintersoul,3,2006,United Kingdom,-,Black
4099,Witheria,3,1999,Finland,1999,Thrash
4100,Wooden Stake,3,2010,USA,-,Death doom
4101,Wormwood,3,2014,Sweden,2014,Atmospheric black
4102,Wotan,3,1988,Italy,-,Heavy
4103,WRVTH,3,2007,USA,2007,"Technical death,Deathcore,Post-metal,Hardcore"
4104,X Wild,3,1992,Germany,1996,Heavy
4105,XXX Maniak,3,2003,USA,2003,Grindcore
4106,Yaotl Mictlan,3,1998,"Mexico, USA",-,"Black,Folk"
4107,Zealotry,3,2005,USA,2005,Death
4108,ZX Spectrum,3,2001,Latvia,-,"Death ',N',Roll"
4109,???????,2,2011,Japan,2011,Black
4110,ÆGES,2,2010,USA,-,Alternative
4111,Ænimus (SWE),2,2009,Sweden,2009,"Heavy,Power"
4112,Ö-Nirik,2,2006,France,-,"Melodic death,Brutal death"
4113,2 Wolves,2,2010,Finland,2010,"Industrial,Symphonic"
4114,A Canorous Quintet,2,1993,Sweden,1999,Melodic death
4115,Aabsynthum,2,2004,Romania,2004,"Black,Funeral doom"
4116,Abramis Brama,2,1997,Sweden,-,Stoner
4117,Abscession,2,2009,Sweden,2009,Death
4118,Abstracter,2,2010,USA,-,"Black,Doom,Sludge,Crust,Punk"
4119,Abyssaria,2,1998,Germany,1998,"Black,Gothic"
4120,Aclla,2,2007,Brazil,-,Heavy
4121,Adaliah,2,2008,USA,2008,"Deathcore,Melodic hardcore"
4122,Admiral Sir Cloudesley Shovell,2,2008,United Kingdom,-,Psychedelic hard rock
4123,Aftershok,2,1996,USA,1996,Heavy
4124,Agro,2,1994,South Africa,-,"Power,Thrash"
4125,Ahamkara,2,2013,United Kingdom,2013,Atmospheric black
4126,Aion,2,2013,Switzerland,-,Black
4127,Altars,2,2005,Australia,2005,Death
4128,Amnis Nihili,2,2008,Greece,-,Black
4129,Anal Blasphemy,2,2002,Finland,2002,Black
4130,Ancestors Revenge,2,2008,Canada,-,Death
4131,ANJ,2,2003,Russia,2003,"Alternative,Hard rock"
4132,Antropophobia,2,2009,Russia,-,"Atmospheric black,Doom"
4133,Apothecary,2,2012,USA,2012,Death doom
4134,AraPacis,2,2003,Canada,-,"Progressive,Doom,Hard rock"
4135,Arctic Winter,2,1989,Germany,1989,"Power,Heavy"
4136,Arkhe,2,1995,Mexico,-,Technical death
4137,Arms,2,2012,USA,2012,"Math,Grindcore"
4138,Asguard,2,1996,Belarus,-,Melodic death
4139,Ass To Mouth,2,2004,Poland,2004,"Brutal death,Grindcore"
4140,Athelstan,2,2010,United Kingdom,-,Folk
4141,Atrium Noctis,2,2002,Germany,2002,Melodic black
4142,Aus Der Transzendenz,2,2009,Austria,-,Black
4143,Axevyper,2,2009,Italy,2009,Heavy
4144,Axewitch,2,1979,Sweden,-,Heavy
4145,Azoic,2,2011,Iceland,2011,Black
4146,Azure Agony,2,2006,Italy,-,Progressive
4147,Barús,2,2015,France,2015,Progressive death
4148,Barghest,2,2006,USA,-,Black
4149,Beaten To Death,2,2010,Norway,2010,Grindcore
4150,Beholder (ITA),2,1998,Italy,2005,Melodic heavy
4151,Belfegor,2,1998,Poland,1998,Black
4152,Bellfast,2,1993,Japan,-,Celtic folk
4153,Beorn,2,2008,Russia,2008,"Power,Symphonic"
4154,Bill Ward,2,1989,United Kingdom,-,Hard rock
4155,Birds Of Prey,2,2006,USA,2006,"Sludge,Death"
4156,Birth Through Gore,2,2007,Greece,-,Brutal death
4157,Black Knight Symfonia,2,2008,Monaco,2008,"Gothic,Symphonic,Power"
4158,Blackfinger,2,2012,USA,-,Doom
4159,Blackwater,2,2011,USA,2011,"Heavy,Doom"
4160,Blackwood,2,2015,Italy,-,"Drone doom,Industrial"
4161,Blood Revolt,2,2010,Canada,2010,"Black,Death"
4162,Blood Stained Dusk,2,1998,USA,-,Black
4163,Boomerang,2,1996,Germany,1996,"Heavy,Power"
4164,Camel Of Doom,2,2001,United Kingdom,-,"Doom,Stoner"
4165,Cap De Craniu,2,2007,Romania,2007,"Death,Grindcore"
4166,Cardinals Folly,2,2007,Finland,-,Doom
4167,Carn Dûm,2,2012,Germany,2012,Black
4168,Carnal Lust,2,1998,France,-,Brutal death
4169,Carpatica,2,2009,Romania,2009,"Pagan black,Folk"
4170,Catarsis Incarne,2,2002,Costa Rica,-,Death
4171,Cavus,2,2008,Finland,2008,Black
